Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
1e-06,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.21806,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.501317,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.786618,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
1.043402,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.217987,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.486901,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.727075,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.009677,TraderOne,Tick,0,0,0,0,147600,147000,0,0,0,OK
2.289991,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.491649,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.771858,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.029844,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.293078,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.521362,TraderOne,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.784262,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.017874,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.296252,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.547871,TraderOne,Tick,10,0,10,-10,146300,146900,-147,147,-1853,OK
4.736811,TraderOne,Tick,10,0,10,-10,146300,146900,-147,147,-1853,OK
4.983841,TraderOne,Tick,10,0,10,-10,146300,146900,-147,147,-1853,OK
5.281532,TraderOne,Tick,10,0,10,-10,146300,146800,-147,147,-1853,OK
5.527547,TraderOne,Tick,10,0,10,-10,146300,146800,-147,147,-1853,OK
5.768184,TraderOne,Tick,10,0,10,-10,146300,146800,-147,147,-1853,OK
5.955938,TraderOne,Tick,10,0,10,-10,146300,146800,-147,147,-1853,OK
6.246122,TraderOne,Tick,10,10,0,0,147000,146800,147,-147,-147,OK
6.49416,TraderOne,Tick,10,20,-10,10,147000,146800,441,2559,559,OK
6.729853,TraderOne,Tick,10,30,-20,20,147200,146700,735,5265,1265,OK
6.95298,TraderOne,Tick,10,30,-20,20,147200,146700,735,5265,1265,OK
7.218799,TraderOne,Tick,10,30,-20,20,147200,146900,735,5265,1265,OK
7.528846,TraderOne,Tick,10,30,-20,20,147200,146900,735,5265,1265,OK
7.711104,TraderOne,Tick,10,30,-20,20,147200,146900,735,5265,1265,OK
8.037671,TraderOne,Tick,10,30,-20,20,147200,146900,735,5265,1265,OK
8.229322,TraderOne,Tick,10,30,-20,20,147000,146900,735,5265,3265,OK
8.490869,TraderOne,Tick,10,30,-20,20,147000,146900,735,5265,3265,OK
8.722741,TraderOne,Tick,10,30,-20,20,147000,146900,735,5265,3265,OK
9.019933,TraderOne,Tick,10,30,-20,20,146700,146900,735,5265,9265,OK
9.299559,TraderOne,Tick,10,30,-20,20,146700,146900,735,5265,9265,OK
